OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,Shape__Area,Shape__Length
117,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,60928e6f-9e8c-47d9-9be0-5bb4d3d611ae,108,ARHO,Lands - http://landsnet.nps.gov/tractsnet/documents/ARHO/Metadata/arho_metadata.xml,"Arlington House, The Robert E. Lee Memorial",2021/01/22 00:00:00+00,VA,NC,1888900,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048142,"Arlington House, The Robert E. Lee Memorial",114601.20703125,2501.22901419612
118,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,0f17fbd7-e152-4eab-8dc6-320d9709708d,109,THIS,Lands - http://landsnet.nps.gov/tractsnet/documents/THIS/Metadata/this_metadata.xml,Theodore Roosevelt Island,2005/05/31 00:00:00+00,DC,NC,2733420,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048191,Theodore Roosevelt Island,670314.0703125,4107.77835572407
119,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,ef628e8e-c14b-48e8-9d3b-5040bf6ba01d,110,MANA,Lands - http://landsnet.nps.gov/tractsnet/documents/MANA/Metadata/mana_metadata.xml,Manassas National Battlefield Park,2019/06/11 00:00:00+00,VA,NC,1470042,National Battlefield Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048179,Manassas,34215862.9648438,45903.8281546776
120,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,1e438f8d-5e5b-4cfb-bdea-9072380e2fde,111,WWII,Lands - http://landsnet.nps.gov/tractsnet/documents/WWII/Metadata/wwii_metadata.xml,World War II Memorial,2011/11/03 00:00:00+00,DC,NC,1989142,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181142,World War II Memorial,57408.390625,1049.68370450181
121,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,008589fa-299c-4f8d-9bf1-42c5b4ed0b4a,112,FRDE,Lands - http://landsnet.nps.gov/tractsnet/documents/FRDE/Metadata/frde_metadata.xml,Franklin Delano Roosevelt Memorial,2020/05/20 00:00:00+00,DC,NC,1877541,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181122,Franklin Delano Roosevelt,54428.30859375,1305.8434783867
122,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,7455cfdd-9cdf-4e8a-8d0e-12f8681db23c,113,FOTH,Lands - http://landsnet.nps.gov/tractsnet/documents/FOTH/Metadata/foth_metadata.xml,Ford's Theatre National Historic Site,2006/09/21 00:00:00+00,DC,NC,530748,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048156,Ford's Theatre,2010.95703125,298.369046693772
123,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,40261e1b-adbc-46a6-b9f7-6680bf0b2873,114,JEFM,Lands - http://landsnet.nps.gov/tractsnet/documents/JEFM/Metadata/jefm_metadata.xml,Thomas Jefferson Memorial,2009/11/06 00:00:00+00,DC,NC,530557,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049278,Thomas Jefferson Memorial,131694.9375,1943.24622489741
124,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,9932bdc1-9c28-473d-9771-de8b3bcf9e71,115,LINC,Lands - http://landsnet.nps.gov/tractsnet/documents/LINC/Metadata/linc_metadata.xml,Lincoln Memorial,2011/11/04 00:00:00+00,DC,NC,531835,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181132,Lincoln,48757.2890625,785.315592479956
125,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,3a2983cd-481c-437e-a880-9591dea7665f,116,WAMO,Lands - http://landsnet.nps.gov/tractsnet/documents/WAMO/Metadata/wamo_metadata.xml,Washington Monument,2009/11/06 00:00:00+00,DC,NC,531850,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049241,Washington Monument,698443.16796875,4277.12051706059
126,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,ff61edba-75d8-483f-8a0c-073450f1bf5f,117,KOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/KOWA/Metadata/kowa_metadata.xml,Korean War Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,1985525,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181130,Korean War Veterans,10418.44140625,511.950673057314
127,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,0ea795c7-3b54-40fd-bb8e-f1e91de4917a,118,PISC,Lands - http://landsnet.nps.gov/tractsnet/documents/PISC/Metadata/pisc_metadata.xml,Piscataway Park,2021/03/03 00:00:00+00,MD,NC,1676813,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048186,Piscataway,30633450.4023438,42735.9772401692
128,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,978c0923-634c-45f6-9f4d-b88e0f0d628b,119,FRDO,Lands - http://landsnet.nps.gov/tractsnet/documents/FRDO/Metadata/frdo_metadata.xml,Frederick Douglass National Historic Site,2017/03/21 00:00:00+00,DC,NC,2733423,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048159,Frederick Douglass,56143.0546875,1101.375343924
129,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,0b2afc14-f5cf-42cd-8e5d-67e3eab72742,120,CAWO,Lands - http://landsnet.nps.gov/tractsnet/documents/CAWO/Metadata/cawo_metadata.xml,Carter G. Woodson Home National Historic Site,2006/03/22 00:00:00+00,DC,NC,2085144,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048147,Carter G. Woodson Home,1273.03125,155.437005455564
130,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,61b85041-74a8-493f-9a5c-e5a8c5038a12,121,MONO,Lands - http://landsnet.nps.gov/tractsnet/documents/MONO/Metadata/mono_metadata.xml,Monocacy National Battlefield,2020/09/25 00:00:00+00,MD,NC,588388,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048181,Monocacy,10994093.71875,24355.8272043955
131,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,8414cee4-b28a-4661-9dd4-08969c4ee461,122,PRWI,Lands - http://landsnet.nps.gov/tractsnet/documents/PRWI/Metadata/prwi_metadata.xml,Prince William Forest Park,2022/09/12 13:42:37+00,VA,NC,1472799,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221823,Prince William Forest,92507002,49822.7268987651
132,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,16114b29-ed7f-49e7-b5b2-c535c70c0231,123,VIVE,Lands - http://landsnet.nps.gov/tractsnet/documents/VIVE/Metadata/vive_metadata.xml,Vietnam Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,531832,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181139,Vietnam Veterans,14616.56640625,519.101130017737
133,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,37b90aa9-d015-4f58-8f13-df1bc0705b26,124,COGA,Lands - http://landsnet.nps.gov/tractsnet/documents/COGA/Metadata/coga_metadata.xml,Constitution Gardens,2011/11/03 00:00:00+00,DC,NC,530610,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181119,Constitution Gardens,285615.63671875,3334.102039324
134,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,1023ce36-0c6c-4a64-b3a5-6f043fefbc02,125,WOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/WOTR/Metadata/wotr_metadata.xml,Wolf Trap National Park for the Performing Arts,2004/11/03 00:00:00+00,VA,NC,1888974,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048198,Wolf Trap NP for the Performing Arts,897748.41796875,5957.31435557468
135,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,32829a44-ed35-449e-8d5a-21c5542bb5da,126,WHHO,Lands - http://landsnet.nps.gov/tractsnet/documents/WHHO/Metadata/whho_metadata.xml,White House,2010/05/28 00:00:00+00,DC,NC,2733430,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165312,President's Park (White House),122787.8671875,1366.08911051861
136,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,3bd2b4f0-4a00-4edf-80e7-fe7780b1a2f6,127,FLNI,Lands - http://landsnet.nps.gov/tractsnet/documents/FLNI/Metadata/flni_metadata.xml,Flight 93 National Memorial,2013/02/05 00:00:00+00,PA,NE,1986830,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194468,Flight 93,15660815.125,23713.442823534
137,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,99dc71cf-1911-437b-970c-750d22cdd5bf,128,ALPO,Lands - http://landsnet.nps.gov/tractsnet/documents/ALPO/Metadata/alpo_metadata.xml,Allegheny Portage Railroad National Historic Site,2014/08/04 00:00:00+00,PA,NE,1214216,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215968,Allegheny Portage Railroad,9165311.4375,57275.1627358523
138,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,055dd215-070f-4972-bc15-8e97ab166d49,129,FONE,Lands - http://landsnet.nps.gov/tractsnet/documents/FONE/Metadata/fone_metadata.xml,Fort Necessity National Battlefield,2013/09/24 00:00:00+00,PA,NE,1193713,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208012,Fort Necessity,6290267.13671875,18001.8090682772
139,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,f13c068a-88f3-40bc-b1be-c313bc835c6b,130,JOFL,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFL/Metadata/jofl_metadata.xml,Johnstown Flood National Memorial,2012/08/28 00:00:00+00,PA,NE,1200751,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188827,Johnstown Flood,1253202.7578125,8381.7616321385
140,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,ca938ff3-b1e4-46f2-9528-24c6950810d5,133,APCO,Lands - http://landsnet.nps.gov/tractsnet/documents/APCO/Metadata/apco_metadata.xml,Appomattox Court House National Historical Park,2010/10/07 00:00:00+00,VA,NE,1462531,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166449,Appomattox Court House,11419907.1875,29122.1640124448
141,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,6f9691ca-60da-4baa-9426-319df96acd10,134,ASIS,Unofficial Boundary of Assateague Island National Seashore.,Assateague Island National Seashore,2013/12/18 00:00:00+00,MD,NE,589056,National Seashore,Park,Preliminary data. Contact the Land Resources Program for additional information.,Assateague Island,279576044.769531,176295.270880131
142,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,48c50e2e-f5e7-4f13-bc28-8e3303f7ace0,135,BLUE,Unofficial Boundary of Bluestone National Scenic River.,Bluestone National Scenic River,2013/12/18 00:00:00+00,WV,NE,1877617,National Wild & Scenic River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Bluestone,27851054.7226563,59931.2267594926
143,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,b43ff784-f51e-4a05-b2e8-f2d22276744e,136,BOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOWA/Metadata/bowa_metadata.xml,Booker T. Washington National Monument,2010/06/07 00:00:00+00,VA,NE,1477005,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165302,Booker T Washington,1555430.515625,8349.6150556682
144,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,b678f5c2-3091-405c-8d81-0d6cfa7b422b,137,CEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBE/Metadata/cebe_metadata.xml,Cedar Creek and Belle Grove National Historical Park,2005/04/07 00:00:00+00,VA,NE,1985663,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048148,Cedar Creek & Belle Grove,23282831.5078125,53250.8577560236
145,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,98ec7f70-1050-4a40-83ae-64167cef92b5,138,COLO,Lands - http://landsnet.nps.gov/tractsnet/documents/COLO/Metadata/colo_metadata.xml,Colonial National Historical Park,2019/06/30 00:00:00+00,VA,NE,1478412,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2264898,Colonial,54414975.546875,215325.713982903
146,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,effa79fe-9ccb-45cd-8022-d0288d1bce21,140,DEWA,Unofficial Boundary of Delaware Water Gap National Recreation Area.,Delaware Water Gap National Recreation Area,2018/05/25 00:00:00+00,NJ,NE,1193711,National Recreation Area,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Delaware Water Gap,492233830.675781,623859.804656395
147,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,a0bc9300-140b-4143-a4dc-14440735c8c7,141,EDAL,Lands - http://landsnet.nps.gov/tractsnet/documents/EDAL/Metadata/edal_metadata.xml,Edgar Allan Poe National Historic Site,2009/03/17 00:00:00+00,PA,NE,1888911,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048151,Edgar Allan Poe,3603.2265625,281.411364839078
148,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,721ac32b-1268-47e4-afaf-3776125781bb,142,DELA,Unofficial Boundary of Middle Delaware National Scenic River.,Middle Delaware National Scenic River,2018/10/17 00:00:00+00,NJ,NE,need,National Wild & Scenic River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Delaware,19974061.140625,242145.033779744
149,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,11653b9c-1ee6-45b5-b4e8-9520e1fcf817,143,FOMC,Lands - http://landsnet.nps.gov/tractsnet/documents/FOMC/Metadata/fomc_metadata.xml,Fort McHenry National Monument and Historic Shrine,2012/01/13 00:00:00+00,MD,NE,595218,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210703,Fort McHenry,315838.453125,2454.0100465059
150,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,539ebcc0-b88d-4851-a98a-e7b7f1b92aab,145,HAMP,Lands - http://landsnet.nps.gov/tractsnet/documents/HAMP/Metadata/hamp_metadata.xml,Hampton National Historic Site,2016/01/26 00:00:00+00,MD,NE,584846,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182232,Hampton,421003.32421875,3921.10206911979
151,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,bc92f7fd-cdb8-42aa-b69b-d5fc4e64d6a3,146,FRHI,Lands - http://landsnet.nps.gov/tractsnet/documents/FRHI/Metadata/frhi_metadata.xml,Friendship Hill National Historic Site,2011/04/14 00:00:00+00,PA,NE,1888922,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171831,Friendship Hill,4631731.2890625,13931.3122923731
152,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,5d2c3af6-7fcb-4a89-b385-ff6c23095249,147,FRSP,Lands - http://landsnet.nps.gov/tractsnet/documents/FRSP/Metadata/frsp_metadata.xml,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,2016/09/30 00:00:00+00,VA,NE,1488838,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235461,Fredericksburg & Spotsylvania,60945548.8515625,200634.441784437
153,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,faf92a82-60e7-4e01-b070-17f54154ca55,148,GEWA,Lands - http://landsnet.nps.gov/tractsnet/documents/GEWA/Metadata/gewa_metadata.xml,George Washington Birthplace National Monument,2016/03/28 00:00:00+00,VA,NE,1467038,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229064,George Washington Birthplace,4316894.16015625,12323.3691878453
154,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,fb125327-bff3-4d78-83e4-da0e562a9a6c,150,GETT,Lands - http://landsnet.nps.gov/tractsnet/documents/GETT/Metadata/gett_metadata.xml,Gettysburg National Military Park,2021/01/11 00:00:00+00,PA,NE,1175577,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220221,Gettysburg,41670785.4960938,94842.4005793576
155,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,ac82f16f-7092-427e-be23-a05268bf61ef,151,EISE,Lands - http://landsnet.nps.gov/tractsnet/documents/EISE/Metadata/eise_metadata.xml,Eisenhower National Historic Site,2013/07/08 00:00:00+00,PA,NE,1888912,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196717,Eisenhower,4756910.1953125,14050.0967774955
156,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,ab0dd473-8dbd-476f-b10f-38875dcfac1d,152,HOFU,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFU/Metadata/hofu_metadata.xml,Hopewell Furnace National Historic Site,2011/08/17 00:00:00+00,PA,NE,1193717,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180623,Hopewell Furnace,5895031.23828125,14014.7606840805
157,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,d3a1b3b8-10e3-4a37-bfea-dea874e315d4,153,INDE,Lands - http://landsnet.nps.gov/tractsnet/documents/INDE/Metadata/inde_metadata.xml,Independence National Historical Park,2017/11/09 00:00:00+00,PA,NE,1177725,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2249521,Independence,298507.3984375,9431.15344436659
158,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,43c46f8e-45fc-4954-8516-8c140dff9643,154,THKO,Lands - http://landsnet.nps.gov/tractsnet/documents/THKO/Metadata/thko_metadata.xml,Thaddeus Kosciuszko National Memorial,2010/07/07 00:00:00+00,PA,NE,1888966,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165600,Thaddeus Kosciuszko,192.98046875,56.145369764688
159,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,a8987176-e828-4720-b4f7-1052952acc65,157,PETE,Lands - http://landsnet.nps.gov/tractsnet/documents/PETE/Metadata/pete_metadata.xml,Petersburg National Battlefield,2011/02/02 00:00:00+00,VA,NE,1498529,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2169676,Petersburg,17776168.9101563,55879.6660753422
160,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,f9c85625-4c60-4c6c-bef4-63e9620d3a1a,158,NERI,Unofficial Boundary of New River Gorge National Park and Preserve.,New River Gorge National Park and Preserve,2013/12/18 00:00:00+00,WV,NE,1877618,National Preserve,Lands,Preliminary data. Contact the Land Resources Program for additional information.,New River Gorge,466875555.179688,377213.330069843
161,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,6cdffbaf-28f1-4e21-bf8b-40c3f4c66077,159,MAWA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAWA/Metadata/mawa_metadata.xml,Maggie L. Walker National Historic Site,2011/11/30 00:00:00+00,VA,NE,1780716,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182230,Maggie L. Walker,8394.625,549.226648819634
162,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,eb264d92-ed21-421e-bae3-d70145d45e04,160,RICH,Lands - http://landsnet.nps.gov/tractsnet/documents/RICH/Metadata/rich_metadata.xml,Richmond National Battlefield Park,2021/03/23 00:00:00+00,VA,NE,1473199,National Battlefield Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223252,Richmond,52827864.7109375,176089.056619241
163,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,1e4664fc-7c0f-4660-b1b9-9eb7d49bc97b,161,SHEN,Unofficial Boundary of Shenandoah National Park.,Shenandoah National Park,2013/12/18 00:00:00+00,VA,NE,1488805,National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Shenandoah,1309300933.19531,785323.329907564
164,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,d9718f62-8e76-4d95-989b-beb61315bd0e,162,THST,Lands - http://landsnet.nps.gov/tractsnet/documents/THST/Metadata/thst_metadata.xml,Thomas Stone National Historic Site,2009/07/28 00:00:00+00,MD,NE,1888967,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048411,Thomas Stone,2172355.73046875,6334.90145039861
165,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,3e4d248e-0303-44c6-920f-f9b43a76a243,163,STEA,Unofficial Boundary of Steamtown National Historic Site.,Steamtown National Historic Site,2013/12/18 00:00:00+00,PA,NE,1877509,National Historic Site,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Steamtown,436571.796875,6727.05326727798
166,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,4ba3fa01-b332-4743-a98b-7264bb751bb9,164,UPDE,Lands - http://landsnet.nps.gov/tractsnet/documents/UPDE/Metadata/upde_metadata.xml,Upper Delaware Scenic and Recreational River,2015/12/22 00:00:00+00,NY,NE,1888970,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225706,Upper Delaware,414752036.382813,315325.408056816
167,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,b4a35cb8-6ad8-447d-b4c1-2cffbd6062eb,165,VAFO,Lands - http://landsnet.nps.gov/tractsnet/documents/VAFO/Metadata/vafo_metadata.xml,Valley Forge National Historical Park,2018/05/14 00:00:00+00,PA,NE,1211947,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048195,Valley Forge,23893035.3671875,30664.0038071212
168,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,dfba7e54-d4a9-4c9e-bd55-6132665274c6,166,BICY,Lands - http://landsnet.nps.gov/tractsnet/documents/BICY/Metadata/bicy_metadata.xml,Big Cypress National Preserve,2019/09/26 00:00:00+00,FL,SE,302659,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2266795,Big Cypress,3659385199.1875,296738.814678046
169,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,4831edde-2e75-431c-9201-3b8bd6709b8f,167,TUIN,Lands - http://landsnet.nps.gov/tractsnet/documents/TUIN/Metadata/tuin_metadata.xml,Tuskegee Institute National Historic Site,2016/01/14 00:00:00+00,AL,SE,158362,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229067,Tuskegee Institute,352543.78125,3809.87502910983
170,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,4a8bd627-b452-44ba-98d7-a5ec346cf763,168,CANA,Lands - http://landsnet.nps.gov/tractsnet/documents/CANA/Metadata/cana_metadata.xml,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048145,Canaveral,309112930.238281,112604.043801554
171,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,cc1dd701-d159-4b2f-9543-e378ffbf4e44,169,CHAT,Lands - http://landsnet.nps.gov/tractsnet/documents/CHAT/Metadata/chat_metadata.xml,Chattahoochee River National Recreation Area,2021/03/09 00:00:00+00,GA,SE,1688073,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2275647,Chattahoochee River,70122898.7304688,326394.162777019
172,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,84a63cd7-07c5-41a2-8ad0-e4f7b8e29474,172,ANDE,Lands - http://landsnet.nps.gov/tractsnet/documents/ANDE/Metadata/ande_metadata.xml,Andersonville National Historic Site,2014/08/19 00:00:00+00,GA,SE,310534,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215967,Andersonville,2953276.7265625,8539.02952846377
173,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,02754990-1628-4280-beb7-00ce7dbd0ada,173,BISO,Unofficial Boundary of Big South Fork National River and Recreation Area.,Big South Fork National River and Recreation Area,2013/12/18 00:00:00+00,KY,SE,1309762,National River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Big South Fork,769133448,349536.181850991
174,2023/01/03 09:21:31+00,NPS_WASO_LANDS,2023/01/03 09:21:31+00,NPS_WASO_LANDS,6780c9bc-548e-4309-ae90-9cf23698f80c,174,BLRI,Lands - http://landsnet.nps.gov/tractsnet/documents/BLRI/Metadata/blri_metadata.xml,Blue Ridge Parkway,2022/06/14 00:00:00+00,NC,SE,1009494,Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2285011,Blue Ridge Parkway,642259442.636719,2284719.47093936
